timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054048985,383099306,415049689.0,1741.49,4.955,7.800000000000011,129.0
1054048987,383098239,415049468.0,1751.56,4.955,7.600000000000023,132.0
1054048988,383097721,415049368.0,1756.43,4.955,7.600000000000023,133.0
1054048994,383094535,415048686.0,1786.55,4.889,6.800000000000011,134.0
1054048995,383094044,415048452.0,1791.45,4.88,6.800000000000011,134.0
1054048997,383093245,415047994.0,1799.67,4.796,6.800000000000011,134.0
1054048999,383092455,415047959.0,1806.94,3.695,6.800000000000011,134.0
1054049004,383090250,415047721.0,1827.76,4.199,6.600000000000023,132.0
1054049006,383089424,415047319.0,1836.01,4.189,6.399999999999977,131.0
1054049008,383088605,415047310.0,1843.63,4.189,6.600000000000023,130.0
1054049010,383087444,415047106.0,1854.61,4.852,6.800000000000011,130.0
1054049012,383086332,415046666.0,1865.52,5.3,6.800000000000011,131.0
1054049013,383085766,415046486.0,1870.94,5.337,6.800000000000011,132.0
1054049015,383084722,415046415.0,1880.69,5.216,6.800000000000011,134.0
1054049017,383083518,415046529.0,1891.86,5.225,6.600000000000023,135.0
1054049018,383082896,415046588.0,1897.55,5.225,6.399999999999977,135.0
1054049022,383080347,415046219.0,1921.37,5.374,6.199999999999989,136.0
1054049030,383075156,415045200.0,1970.36,5.766,7.800000000000011,135.0
1054049036,383071322,415044420.0,2006.51,5.953,9.600000000000025,132.0
1054049039,383069499,415044032.0,2023.74,6.018,9.800000000000011,132.0
1054049049,383062968,415042833.0,2085.21,5.99,9.199999999999989,132.0
1054049051,383061763,415042559.0,2096.59,5.953,9.199999999999989,131.0
1054049054,383059879,415042122.0,2114.45,5.822,9.199999999999989,131.0
1054049065,383053186,415040762.0,2177.58,5.748,8.199999999999989,128.0
1054049075,383046983,415039620.0,2235.93,5.804,7.0,131.0
1054049076,383046351,415039529.0,2241.84,5.757,7.0,131.0
1054049083,383041949,415039365.0,2282.75,5.72,7.199999999999989,131.0
1054049087,383039506,415039418.0,2305.46,5.72,7.399999999999977,134.0
1054049092,383036439,415039706.0,2334.06,5.692,8.399999999999977,134.0
1054049095,383034640,415039959.0,2350.88,5.626,9.199999999999989,134.0
1054049099,383032193,415040405.0,2373.9,5.645,10.0,134.0
1054049107,383027540,415041339.0,2417.77,5.58,11.399999999999975,136.0
1054049108,383027017,415041287.0,2422.62,5.561,11.600000000000025,136.0
1054049110,383026014,415041176.0,2431.97,4.563,11.800000000000011,137.0
1054049112,383025183,415041459.0,2440.0,4.301,12.0,137.0
1054049115,383024024,415042009.0,2451.61,4.563,12.399999999999975,137.0
1054049117,383022878,415042155.0,2462.32,4.563,12.200000000000044,137.0
1054049125,383018416,415042670.0,2503.97,5.123,11.199999999999989,137.0
1054049129,383016017,415043058.0,2526.49,5.617,10.399999999999975,134.0
1054049132,383014182,415043541.0,2543.94,5.701,10.0,133.0
1054049137,383011268,415044181.0,2571.49,5.729,9.399999999999975,131.0
1054049140,383009335,415044506.0,2589.64,5.682,9.399999999999975,130.0
1054049145,383006480,415045096.0,2616.58,5.44,9.600000000000025,127.0
1054049147,383005449,415045198.0,2626.2,5.374,9.600000000000025,127.0
