timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049872479,382465882,414707413.0,1261.37,3.051,10.399999999999975,0.0,161.0,80.0,0.5
1049872486,382465647,414704673.0,1283.18,3.06,9.399999999999975,0.0,161.0,80.0,0.5
1049872489,382465426,414703669.0,1291.39,3.07,8.600000000000023,0.0,161.0,81.0,0.5
1049872494,382464458,414702371.0,1305.18,3.051,7.399999999999977,0.0,160.0,81.0,0.5
1049872496,382464309,414701619.0,1311.3,3.042,7.199999999999989,0.0,157.0,81.0,0.5
1049872499,382464453,414700467.0,1320.53,3.042,7.800000000000011,0.0,154.0,82.0,0.5
1049872503,382465311,414699723.0,1330.85,3.032,9.0,0.0,153.0,82.0,0.5
1049872509,382467238,414699861.0,1348.78,3.014,10.800000000000011,0.0,153.0,80.0,0.5
1049872516,382469646,414700142.0,1371.29,3.004,11.800000000000011,0.0,155.0,82.0,0.5
1049872518,382470275,414700119.0,1377.13,3.014,12.0,0.0,155.0,82.0,0.5
1049872525,382472520,414700062.0,1398.03,3.004,12.200000000000044,0.0,155.0,81.0,0.5
1049872528,382473509,414700140.0,1407.23,2.995,13.200000000000044,0.0,155.0,83.0,0.5
1049872534,382475712,414700504.0,1427.93,3.004,15.600000000000025,0.0,155.0,81.0,0.5
1049872536,382476467,414700695.0,1435.11,3.014,16.200000000000045,0.0,157.0,82.0,0.5
1049872540,382477795,414700977.0,1447.66,3.042,16.399999999999977,0.0,160.0,81.0,0.5
1049872545,382479476,414701092.0,1463.31,3.07,15.600000000000025,0.0,163.0,83.0,0.5
1049872546,382479830,414701164.0,1466.65,3.07,15.399999999999975,0.0,163.0,82.0,0.5
1049872547,382480152,414701230.0,1469.69,3.079,15.200000000000044,0.0,160.0,82.0,0.5
1049872554,382482439,414701797.0,1491.44,3.098,15.200000000000044,0.0,162.0,81.0,0.5
1049872556,382483036,414701912.0,1497.07,3.098,15.200000000000044,0.0,163.0,82.0,0.5
1049872561,382484510,414701280.0,1511.75,3.098,15.200000000000044,0.0,163.0,81.0,0.5
1049872568,382486881,414700620.0,1534.43,3.098,16.200000000000045,0.0,163.0,83.0,0.5
1049872570,382487455,414700412.0,1540.01,3.098,16.600000000000023,0.0,163.0,82.0,0.5
1049872577,382489628,414699773.0,1560.83,3.098,17.399999999999977,0.0,163.0,82.0,0.5
1049872580,382490564,414699574.0,1569.68,3.098,17.200000000000045,0.0,163.0,82.0,0.5
1049872587,382492997,414699499.0,1592.3,3.098,16.399999999999977,0.0,162.0,82.0,0.5
1049872589,382493655,414699401.0,1598.46,3.107,16.0,0.0,162.0,82.0,0.5
1049872596,382496031,414698760.0,1621.12,3.126,15.399999999999975,0.0,161.0,83.0,0.0
1049872599,382496973,414698540.0,1630.05,3.126,15.200000000000044,0.0,162.0,83.0,0.5
1049872606,382499357,414698637.0,1652.43,3.135,15.0,0.0,164.0,84.0,0.0
